# oslo-screener report=report_2026-03-06T0706Z.csv data_fetch_started=2026-03-06T07:06:12Z data_fetch_completed=2026-03-06T07:06:57Z generated_at=2026-03-06T07:06:57Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
GENT.OL,2026-03-05,39.5,31.33,2.91,-0.0229,52.018,-24.06,23.49,72.58,35.86,BUY,2.0,3.0,3.0,MODERATE,
PRS.OL,2026-03-05,3.14,32.34,2.34,-0.0592,3.486,-9.93,28.78,19.51,20.92,BUY,2.0,3.0,3.0,MODERATE,
KIT.OL,2026-03-05,106.8,68.62,-8.38,-0.047,86.995,22.77,60.21,65.79,57.36,SELL,3.0,5.0,5.0,HIGH,
EMGS.OL,2026-03-05,0.57,68.67,-2.86,0.0318,0.2516,126.51,48.88,69.59,74.11,SELL,2.0,5.0,3.0,HIGH,
VEI.OL,2026-03-05,196.6,68.71,-1.87,0.2879,183.0,7.43,37.71,77.57,68.18,SELL,2.0,5.0,3.0,HIGH,
DOFG.OL,2026-03-05,124.9,68.75,-4.05,0.1486,108.5976,15.01,46.73,79.83,60.7,SELL,2.0,5.0,3.0,HIGH,
FRO.OL,2026-03-05,343.8,69.17,-6.81,1.3596,276.91,24.16,50.76,67.5,56.66,SELL,2.0,5.0,3.0,HIGH,
SOFF.OL,2026-03-05,55.9,70.08,-8.65,0.5847,49.378,13.21,30.17,94.2,69.89,SELL,2.0,5.0,3.0,HIGH,
B2I.OL,2026-03-05,25.15,70.74,-2.5,0.0602,21.1318,19.01,63.62,81.01,69.64,SELL,2.0,5.0,3.0,HIGH,
HSHP.OL,2026-03-05,138.0,72.79,-6.18,0.611,105.8979,30.31,60.8,88.36,64.42,SELL,2.0,5.0,3.0,HIGH,
HAUTO.OL,2026-03-05,133.2,76.06,-12.86,1.7979,105.7002,26.02,55.28,79.12,69.59,SELL,2.0,5.0,3.0,HIGH,
WAWI.OL,2026-03-05,134.6,83.02,-2.32,0.3612,113.099,19.01,52.73,83.01,84.14,SELL,2.0,5.0,3.0,HIGH,
ACR.OL,2026-03-05,7.12,33.09,-2.88,-0.0734,7.8824,-9.67,40.77,31.79,29.45,BUY-watch,1.0,5.0,1.5,HIGH,
PLT.OL,2026-03-05,5.9,34.25,-0.76,-0.073,6.5692,-10.19,17.62,24.02,19.59,BUY-watch,1.0,1.75,1.5,LOW,
EIOF.OL,2026-03-05,14.3,65.92,5.57,0.0489,13.081,9.32,18.48,73.14,66.28,SELL-watch,1.0,1.75,1.5,LOW,
SATS.OL,2026-03-05,43.9,66.8,3.84,0.1018,40.239,9.1,28.25,63.34,72.57,SELL-watch,1.0,3.0,1.5,MODERATE,
RING.OL,2026-03-05,463.0,67.47,0.66,-0.35,429.439,7.82,22.46,26.84,60.13,SELL-watch,2.0,3.0,3.0,MODERATE,
PCIB.OL,2026-03-05,0.316,69.52,26.87,0.0086,0.2188,44.4,20.34,90.29,85.14,SELL-watch,1.0,3.0,1.5,MODERATE,
VAR.OL,2026-03-05,38.11,69.71,1.72,0.3784,33.5188,13.7,28.03,64.59,72.13,SELL-watch,1.0,3.0,1.5,MODERATE,
AKSO.OL,2026-03-05,40.78,69.99,0.18,-0.0565,35.3172,15.47,55.62,85.73,66.91,SELL-watch,2.0,5.0,3.0,HIGH,
YAR.OL,2026-03-05,490.7,71.52,2.83,1.3953,440.322,11.44,31.72,65.26,74.74,SELL-watch,1.0,5.0,1.5,HIGH,
AKVA.OL,2026-03-05,103.0,72.54,4.44,0.2613,90.418,13.92,42.07,82.98,83.47,SELL-watch,1.0,5.0,1.5,HIGH,
AUSS.OL,2026-03-05,103.6,72.72,2.88,0.7084,95.172,8.86,25.52,73.04,82.44,SELL-watch,1.0,3.0,1.5,MODERATE,
EQNR.OL,2026-03-05,307.3,74.0,2.83,2.8802,256.1025,19.99,45.55,68.66,75.69,SELL-watch,1.0,5.0,1.5,HIGH,
PEN.OL,2026-03-05,26.8,74.45,1.39,0.2999,21.6007,24.07,45.29,67.94,72.38,SELL-watch,1.0,5.0,1.5,HIGH,
ZAL.OL,2026-03-05,75.2,37.18,2.84,-0.1962,83.636,-10.09,28.81,29.69,40.53,NEUTRAL,0.0,3.0,0.0,MODERATE,
ASA.OL,2026-03-05,4.9535,37.22,-0.66,0.0372,6.084,-18.58,29.51,65.61,36.78,NEUTRAL,0.0,3.0,0.0,MODERATE,
KOA.OL,2026-03-05,2.035,37.26,-0.93,-0.0178,2.1553,-5.58,13.79,38.42,27.65,NEUTRAL,0.0,1.75,0.0,LOW,
NAS.OL,2026-03-05,15.3,37.26,-4.27,-0.2291,16.616,-7.92,15.72,29.39,30.56,NEUTRAL,0.0,1.75,0.0,LOW,
BRG.OL,2026-03-05,172.8,37.44,-2.11,0.3481,186.72,-7.46,26.62,49.17,36.44,NEUTRAL,0.0,3.0,0.0,MODERATE,
NORCO.OL,2026-03-05,39.45,37.94,-3.61,0.0002,43.101,-8.47,22.55,45.33,40.05,NEUTRAL,0.0,3.0,0.0,MODERATE,
WSTEP.OL,2026-03-05,17.4,38.22,0.0,-0.1001,18.416,-5.52,17.51,12.96,30.49,NEUTRAL,0.0,1.75,0.0,LOW,
TOM.OL,2026-03-05,116.0,39.69,2.9,-0.2535,127.25,-8.84,32.47,44.43,42.36,NEUTRAL,0.0,5.0,0.0,HIGH,
HYPRO.OL,2026-03-05,1.53,40.84,-3.34,0.0187,1.8728,-18.31,13.77,33.89,43.8,NEUTRAL,0.0,1.75,0.0,LOW,
ININ.OL,2026-03-05,2.86,41.12,0.59,-0.0236,3.0504,-6.24,10.47,78.47,34.88,NEUTRAL,0.0,1.75,0.0,LOW,
CLCO.OL,2026-01-13,95.3,41.33,0.0,-0.4046,98.112,-2.87,24.67,21.33,40.05,NEUTRAL,0.0,3.0,0.0,MODERATE,
SWON.OL,2026-03-05,85.88,41.67,-1.38,0.839,97.6774,-12.08,40.24,70.25,56.71,NEUTRAL,0.0,5.0,0.0,HIGH,
PYRUM.OL,2026-03-05,295.0,41.85,8.0,0.311,312.74,-5.67,11.46,50.0,45.89,NEUTRAL,0.0,1.75,0.0,LOW,
NRC.OL,2026-03-05,7.85,42.03,2.87,-0.0214,8.7408,-10.19,17.53,27.69,46.57,NEUTRAL,0.0,1.75,0.0,LOW,
MULTI.OL,2026-03-05,157.0,42.34,1.91,0.234,167.67,-6.36,17.48,51.53,43.24,NEUTRAL,0.0,1.75,0.0,LOW,
GJF.OL,2026-03-05,266.0,42.36,-0.72,0.0374,278.16,-4.37,27.63,57.78,44.07,NEUTRAL,0.0,3.0,0.0,MODERATE,
JIN.OL,2026-03-05,5.56,42.42,-1.1,-0.0179,5.704,-2.52,17.38,46.87,39.3,NEUTRAL,0.0,1.75,0.0,LOW,
ATEA.OL,2026-03-05,143.4,43.46,1.09,0.4331,151.372,-5.27,17.76,46.95,49.5,NEUTRAL,0.0,1.75,0.0,LOW,
BAKKA.OL,2026-03-05,449.4,44.03,2.07,-1.0857,471.312,-4.65,12.96,51.89,45.55,NEUTRAL,0.0,1.75,0.0,LOW,
GYL.OL,2026-03-05,450.0,44.05,0.0,-1.1206,464.32,-3.08,18.87,96.48,36.73,NEUTRAL,0.0,1.75,0.0,LOW,
ODFB.OL,2026-03-05,116.6,44.69,-8.91,0.4964,120.3281,-3.1,17.43,54.97,37.13,NEUTRAL,0.0,1.75,0.0,LOW,
HELG.OL,2026-03-05,168.5,46.15,-3.02,0.2943,172.4424,-2.29,15.58,41.16,41.23,NEUTRAL,0.0,1.75,0.0,LOW,
ODF.OL,2026-03-05,122.6,46.18,-8.27,0.6517,125.7689,-2.52,17.4,61.52,39.48,NEUTRAL,0.0,1.75,0.0,LOW,
BOR.OL,2026-03-05,17.3,46.46,0.83,-0.0126,17.7084,-2.31,10.09,52.92,44.8,NEUTRAL,0.0,1.75,0.0,LOW,
ABG.OL,2026-03-05,8.09,46.47,-4.01,-0.0117,8.1288,-0.48,15.67,18.44,37.89,NEUTRAL,0.0,1.75,0.0,LOW,
SALM.OL,2026-03-05,564.5,46.64,1.38,-2.7193,578.03,-2.34,12.93,41.99,47.25,NEUTRAL,0.0,1.75,0.0,LOW,
AFG.OL,2026-03-05,184.6,47.02,-2.91,-0.414,185.704,-0.59,14.66,54.02,41.68,NEUTRAL,0.0,1.75,0.0,LOW,
ENTRA.OL,2026-03-05,113.0,47.15,-1.92,-0.197,113.424,-0.37,11.04,58.23,41.75,NEUTRAL,0.0,1.75,0.0,LOW,
MORG.OL,2026-03-05,111.5,47.41,-4.73,-0.2523,112.4156,-0.81,8.67,75.11,40.57,NEUTRAL,0.0,1.75,0.0,LOW,
HEX.OL,2026-03-05,8.06,47.65,1.6,-0.0502,8.0872,-0.34,18.47,45.33,44.68,NEUTRAL,0.0,1.75,0.0,LOW,
SOAG.OL,2026-03-05,445.9,48.54,-2.0,-0.722,446.903,-0.22,30.3,77.75,44.98,NEUTRAL,0.0,5.0,0.0,HIGH,
MOWI.OL,2026-03-05,223.8,49.19,2.47,-0.6359,226.1321,-1.03,16.46,43.67,50.76,NEUTRAL,0.0,1.75,0.0,LOW,
