ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
AMSC.OL,2025-08-13,1.466,20.98,1.08,0.0575,1.4945,-1.91,59.27,32.59,41.34,BUY,3.0,5.0,5.0,HIGH,
HAVI.OL,2025-08-13,1.695,66.17,-0.6,0.0214,1.4354,18.09,48.34,68.21,67.61,SELL,2.0,5.0,3.0,HIGH,
SOGN.OL,2025-08-12,261.0,32.21,-1.65,-1.6077,281.93,-7.42,18.22,10.91,21.58,BUY-watch,1.0,1.75,1.5,LOW,
KOG.OL,2025-08-13,295.55,32.94,-2.34,0.6027,343.194,-13.88,34.53,41.91,33.32,BUY-watch,2.0,5.0,3.0,HIGH,
EMGS.OL,2025-08-13,1.6,33.19,-20.77,-0.0155,1.904,-15.97,22.37,10.17,18.8,BUY-watch,1.0,3.0,1.5,MODERATE,
NONG.OL,2025-08-13,141.8,33.68,-0.78,-0.9067,148.0904,-4.25,12.54,33.3,20.03,BUY-watch,1.0,1.75,1.5,LOW,
HYPRO.OL,2025-08-13,2.95,34.16,-3.41,-0.0571,3.5997,-18.05,16.76,21.53,23.81,BUY-watch,1.0,1.75,1.5,LOW,
OLT.OL,2025-08-13,313.0,66.56,0.74,0.7152,292.38,7.05,40.54,34.44,72.55,SELL-watch,1.0,5.0,1.5,HIGH,
WWIB.OL,2025-08-13,468.0,66.95,4.08,0.4835,437.23,7.04,34.21,72.45,71.6,SELL-watch,1.0,5.0,1.5,HIGH,
HEX.OL,2025-08-13,19.5,66.96,8.37,0.2066,17.4608,11.68,25.82,67.46,84.73,SELL-watch,1.0,3.0,1.5,MODERATE,
WWI.OL,2025-08-13,499.0,67.66,0.98,0.0122,460.12,8.45,31.82,69.28,69.24,SELL-watch,1.0,5.0,1.5,HIGH,
HSHP.OL,2025-08-13,76.2,68.0,0.39,0.1873,66.7259,14.2,40.35,68.23,74.09,SELL-watch,1.0,5.0,1.5,HIGH,
MOBA.OL,2025-08-13,13.25,69.12,5.25,0.0913,12.013,10.3,35.63,80.58,73.58,SELL-watch,1.0,5.0,1.5,HIGH,
PLT.OL,2025-08-13,5.1,69.21,9.34,0.0242,4.1705,22.29,25.42,67.33,76.7,SELL-watch,1.0,3.0,1.5,MODERATE,
NOD.OL,2025-08-13,159.1,70.22,17.54,1.0529,138.148,15.17,17.89,71.54,81.42,SELL-watch,1.0,1.75,1.5,LOW,
NHY.OL,2025-08-13,65.82,70.78,3.01,0.1116,59.6332,10.37,33.94,78.13,78.16,SELL-watch,1.0,5.0,1.5,HIGH,
STB.OL,2025-08-13,153.1,71.02,2.52,0.1073,142.87,7.16,31.39,67.45,80.06,SELL-watch,1.0,5.0,1.5,HIGH,
TRE.OL,2025-08-13,34.6,71.88,-0.0,0.236,30.508,13.41,18.79,48.21,69.67,SELL-watch,1.0,1.75,1.5,LOW,
HAUTO.OL,2025-08-13,112.7,71.95,1.12,0.1942,97.182,15.97,41.29,64.69,71.96,SELL-watch,1.0,5.0,1.5,HIGH,
WAWI.OL,2025-08-13,102.2,72.66,1.52,0.4445,88.384,15.63,31.68,71.03,77.58,SELL-watch,1.0,5.0,1.5,HIGH,
GYL.OL,2025-08-12,454.0,79.47,0.0,6.4035,417.34,8.78,34.4,100.0,95.03,SELL-watch,1.0,5.0,1.5,HIGH,
SKUE.OL,2025-08-13,316.7,35.27,-3.5,-1.2994,335.948,-5.73,15.57,11.44,25.44,NEUTRAL,0.0,1.75,0.0,LOW,
HELG.OL,2025-08-13,168.0,35.55,-2.16,-2.0262,177.0248,-5.1,19.49,27.27,17.66,NEUTRAL,0.0,1.75,0.0,LOW,
BGBIO.OL,2025-08-13,1.124,37.52,-1.89,0.0016,1.2829,-12.38,16.29,41.31,32.21,NEUTRAL,0.0,1.75,0.0,LOW,
VOW.OL,2025-08-13,1.61,38.46,-0.55,0.0135,2.0666,-22.09,24.57,44.28,45.83,NEUTRAL,0.0,3.0,0.0,MODERATE,
SPOG.OL,2025-08-13,74.0,38.64,0.5,-0.2869,75.9592,-2.58,15.9,20.05,31.18,NEUTRAL,0.0,1.75,0.0,LOW,
ATEA.OL,2025-08-13,141.0,39.08,-1.01,0.1721,148.612,-5.12,21.62,58.19,39.73,NEUTRAL,0.0,3.0,0.0,MODERATE,
EQNR.OL,2025-08-13,250.5,39.12,-0.09,-1.6871,261.872,-4.34,13.51,37.9,29.47,NEUTRAL,0.0,1.75,0.0,LOW,
MULTI.OL,2025-08-13,203.0,39.61,-2.53,-1.669,207.2,-2.03,23.89,24.07,26.92,NEUTRAL,0.0,3.0,0.0,MODERATE,
HUNT.OL,2025-08-13,0.787,40.89,-2.14,0.0021,0.9119,-13.7,12.13,49.24,35.7,NEUTRAL,0.0,1.75,0.0,LOW,
TIETO.OL,2025-08-13,178.0,41.36,-2.01,0.0489,186.752,-4.69,14.84,48.85,38.04,NEUTRAL,0.0,1.75,0.0,LOW,
AKSO.OL,2025-08-13,30.54,41.44,-1.84,0.1453,33.3844,-8.52,30.1,45.83,46.88,NEUTRAL,0.0,5.0,0.0,HIGH,
ENTRA.OL,2025-08-13,126.0,41.46,-4.8,-0.3458,127.564,-1.23,12.04,42.6,26.55,NEUTRAL,0.0,1.75,0.0,LOW,
KIT.OL,2025-08-13,60.3,43.02,-1.87,-0.4303,61.058,-1.24,16.73,44.65,34.14,NEUTRAL,0.0,1.75,0.0,LOW,
ASA.OL,2025-08-13,9.05,44.37,-5.25,-0.1024,9.0597,-0.11,24.25,24.86,27.7,NEUTRAL,0.0,3.0,0.0,MODERATE,
XXL.OL,2025-07-18,9.87,44.37,-0.0,0.0138,9.9424,-0.73,6.97,,51.46,NEUTRAL,0.0,1.75,0.0,LOW,
IDEX.OL,2025-08-13,3.2895,44.42,-0.33,0.0152,3.5633,-7.68,22.97,70.11,44.31,NEUTRAL,0.0,3.0,0.0,MODERATE,
VVL.OL,2025-08-13,378.0,44.62,-2.12,-1.206,381.36,-0.88,31.69,34.26,38.93,NEUTRAL,0.0,5.0,0.0,HIGH,
YAR.OL,2025-08-13,375.3,44.68,0.0,-1.6074,381.468,-1.62,16.44,42.57,43.26,NEUTRAL,0.0,1.75,0.0,LOW,
MING.OL,2025-08-13,191.44,44.82,-3.27,-0.3084,193.558,-1.09,11.28,37.08,40.6,NEUTRAL,0.0,1.75,0.0,LOW,
ODL.OL,2025-08-13,70.8,44.86,-3.63,-0.5221,70.454,0.49,26.01,46.95,26.94,NEUTRAL,0.0,3.0,0.0,MODERATE,
SATS.OL,2025-08-13,37.0,45.22,1.39,-0.229,36.811,0.51,15.14,56.2,33.93,NEUTRAL,0.0,1.75,0.0,LOW,
PCIB.OL,2025-08-13,1.475,45.27,-1.61,0.0073,1.593,-7.41,24.94,30.81,47.89,NEUTRAL,0.0,3.0,0.0,MODERATE,
ININ.OL,2025-08-13,2.09,45.9,3.23,-0.0074,2.2712,-7.98,12.71,27.92,51.64,NEUTRAL,0.0,1.75,0.0,LOW,
IOX.OL,2025-08-13,1.48,46.68,-0.39,0.0056,1.5717,-5.83,28.08,39.13,45.35,NEUTRAL,0.0,3.0,0.0,MODERATE,
PEN.OL,2025-08-13,23.4,46.73,-3.78,-0.0523,23.809,-1.72,12.14,47.18,41.11,NEUTRAL,0.0,1.75,0.0,LOW,
POL.OL,2025-08-13,61.5,46.74,-3.12,0.1588,61.52,-0.03,19.42,69.39,42.77,NEUTRAL,0.0,1.75,0.0,LOW,
NAPA.OL,2025-08-13,23.85,46.89,3.37,-0.1675,24.486,-2.6,14.81,35.27,52.86,NEUTRAL,0.0,1.75,0.0,LOW,
AKVA.OL,2025-08-13,85.6,47.04,-0.41,-0.5189,85.8,-0.23,18.76,42.42,41.05,NEUTRAL,0.0,1.75,0.0,LOW,
NORCO.OL,2025-08-13,43.5,47.16,-10.39,0.1377,44.406,-2.04,11.69,60.52,46.94,NEUTRAL,0.0,1.75,0.0,LOW,
VAR.OL,2025-08-13,34.09,47.29,-1.33,-0.2107,33.8088,0.83,20.46,33.81,34.16,NEUTRAL,0.0,3.0,0.0,MODERATE,
PRS.OL,2025-08-13,4.75,47.39,3.86,0.2262,6.3504,-25.2,26.54,78.87,75.98,NEUTRAL,0.0,3.0,0.0,MODERATE,
WSTEP.OL,2025-08-13,24.2,47.4,-5.37,0.0345,24.456,-1.05,16.58,85.89,51.16,NEUTRAL,0.0,1.75,0.0,LOW,
INIFY.OL,2025-08-13,5.9,47.49,-1.78,0.0155,6.058,-2.61,19.21,21.43,36.25,NEUTRAL,0.0,1.75,0.0,LOW,
SDSD.OL,2025-08-12,1.82,47.58,-0.0,0.0002,1.8259,-0.32,21.26,95.61,45.23,NEUTRAL,0.0,3.0,0.0,MODERATE,
