# oslo-screener report=report_2026-04-16T0802Z.csv data_fetch_started=2026-04-16T08:02:04Z data_fetch_completed=2026-04-16T08:02:42Z generated_at=2026-04-16T08:02:42Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
MORG.OL,2026-04-16,117.16,66.46,-2.97,0.5785,108.917,7.57,33.46,78.58,70.66,SELL,2,5.0,3.0,HIGH
NONG.OL,2026-04-16,160.54,66.65,-3.82,0.5883,149.9927,7.03,28.4,75.8,65.06,SELL,2,3.0,3.0,MODERATE
MING.OL,2026-04-16,211.0,67.5,-2.21,0.9082,197.0841,7.06,30.31,79.67,68.3,SELL,2,5.0,3.0,HIGH
SOGN.OL,2026-04-16,349.0,70.29,-8.06,3.8119,295.6797,18.03,43.14,94.7,68.65,SELL,2,5.0,3.0,HIGH
AKVA.OL,2026-04-16,137.0,79.91,-0.91,2.8383,102.8842,33.16,52.35,73.47,84.51,SELL,2,5.0,3.0,HIGH
TEL.OL,2026-04-16,160.3,30.4,-0.63,-0.9305,170.238,-5.84,19.66,52.34,15.67,BUY-watch,1,1.75,1.5,LOW
EIOF.OL,2026-04-16,16.5,66.77,0.0,-0.0346,14.692,12.31,30.05,78.56,57.57,SELL-watch,2,5.0,3.0,HIGH
GYL.OL,2026-04-15,462.0,66.79,0.0,4.2268,449.52,2.78,20.36,96.27,89.33,SELL-watch,1,3.0,1.5,MODERATE
AKSO.OL,2026-04-16,47.78,67.02,2.08,0.0199,41.6472,14.73,46.2,58.93,67.42,SELL-watch,1,5.0,1.5,HIGH
SUBC.OL,2026-04-16,306.6,68.33,0.41,1.1695,267.868,14.46,36.44,58.42,63.3,SELL-watch,1,5.0,1.5,HIGH
NHY.OL,2026-04-16,108.55,70.31,0.73,0.8163,92.8096,16.96,27.05,69.85,73.4,SELL-watch,1,3.0,1.5,MODERATE
JIN.OL,2026-04-16,6.08,71.47,1.89,0.0276,5.7152,6.38,34.79,74.95,80.11,SELL-watch,1,5.0,1.5,HIGH
NOD.OL,2026-04-16,175.9,71.84,0.76,2.2758,148.992,18.06,13.63,83.52,85.91,SELL-watch,1,1.75,1.5,LOW
AFK.OL,2026-04-16,185.0,73.5,6.75,2.3474,165.64,11.69,21.47,92.91,88.17,SELL-watch,1,3.0,1.5,MODERATE
NRC.OL,2026-04-16,9.65,74.21,2.82,0.2441,8.1498,18.41,24.74,78.43,89.7,SELL-watch,1,3.0,1.5,MODERATE
ZAL.OL,2026-04-16,99.0,75.12,1.01,-0.4931,87.02,13.77,48.18,61.7,89.69,SELL-watch,2,5.0,3.0,HIGH
ROGS.OL,2026-04-16,153.98,75.96,0.1,0.3253,142.0895,8.37,54.33,88.43,81.57,SELL-watch,1,5.0,1.5,HIGH
BMA.OL,2026-04-16,20.0,80.15,0.0,0.3366,15.994,25.05,31.39,91.68,90.98,SELL-watch,1,5.0,1.5,HIGH
2020.OL,2026-04-16,129.7,39.61,-2.87,-0.5037,134.3738,-3.48,17.05,40.16,26.37,NEUTRAL,0,1.75,0.0,LOW
WWI.OL,2026-04-16,712.0,40.59,-2.38,-3.5614,733.38,-2.92,16.57,51.24,27.05,NEUTRAL,0,1.75,0.0,LOW
MOWI.OL,2026-04-16,211.6,42.11,0.57,-0.5522,221.2408,-4.36,18.92,42.94,36.36,NEUTRAL,0,1.75,0.0,LOW
AUSS.OL,2026-04-16,98.9,42.2,-0.8,-0.6442,99.362,-0.46,19.29,40.68,26.89,NEUTRAL,0,1.75,0.0,LOW
LSG.OL,2026-04-16,48.14,42.58,-0.67,-0.1301,49.2894,-2.33,13.54,58.71,31.3,NEUTRAL,0,1.75,0.0,LOW
EMGS.OL,2026-04-16,0.241,43.38,-1.14,-0.0078,0.305,-20.99,44.6,62.16,32.98,NEUTRAL,0,5.0,0.0,HIGH
KOG.OL,2026-04-16,382.6,44.06,-7.0,-2.9091,385.5965,-0.78,21.97,54.51,29.14,NEUTRAL,0,3.0,0.0,MODERATE
ODF.OL,2026-04-16,117.0,44.15,-2.42,-0.0757,121.9349,-4.05,11.3,29.7,37.34,NEUTRAL,0,1.75,0.0,LOW
GSF.OL,2026-04-16,71.0,44.45,0.75,-0.2461,72.762,-2.42,16.49,55.45,37.03,NEUTRAL,0,1.75,0.0,LOW
INIFY.OL,2026-04-15,3.88,44.46,10.83,-0.1026,4.0636,-4.52,23.93,40.79,45.98,NEUTRAL,0,3.0,0.0,MODERATE
BWO.OL,2026-04-16,50.0,44.62,0.0,-0.2101,50.7867,-1.55,14.01,56.65,36.3,NEUTRAL,0,1.75,0.0,LOW
SALM.OL,2026-04-16,549.0,44.75,2.54,-1.6305,570.16,-3.71,14.22,46.13,42.05,NEUTRAL,0,1.75,0.0,LOW
QEC.OL,2026-04-16,1.91,45.11,-0.69,-0.0159,1.91,0.0,22.19,45.68,37.66,NEUTRAL,0,3.0,0.0,MODERATE
ENH.OL,2026-04-16,8.56,45.23,0.38,-0.007,8.7665,-2.36,13.14,40.45,37.49,NEUTRAL,0,1.75,0.0,LOW
NAS.OL,2026-04-16,14.335,45.51,1.36,0.0694,15.5421,-7.77,21.9,53.83,46.35,NEUTRAL,0,3.0,0.0,MODERATE
ABG.OL,2026-04-16,7.99,45.64,-2.23,0.01,8.0724,-1.02,17.52,65.36,36.0,NEUTRAL,0,1.75,0.0,LOW
WAWI.OL,2026-04-16,121.6,45.92,-0.99,-0.2685,123.4902,-1.53,15.58,36.57,34.58,NEUTRAL,0,1.75,0.0,LOW
TIETO.OL,2026-04-15,201.8,45.97,-5.78,0.0997,206.4539,-2.25,11.27,75.85,42.22,NEUTRAL,0,1.75,0.0,LOW
EQNR.OL,2026-04-16,349.0,46.27,-1.0,-9.4284,324.9933,7.39,32.63,58.24,32.67,NEUTRAL,0,5.0,0.0,HIGH
PCIB.OL,2026-04-16,0.165,46.36,4.33,-0.0002,0.1902,-13.24,28.52,51.37,50.32,NEUTRAL,0,3.0,0.0,MODERATE
ODFB.OL,2026-04-16,115.0,47.0,-0.44,0.0658,116.8592,-1.59,15.14,49.78,41.6,NEUTRAL,0,1.75,0.0,LOW
DNO.OL,2026-04-16,18.42,47.08,0.13,-0.3751,17.4869,5.34,24.09,56.94,36.03,NEUTRAL,0,3.0,0.0,MODERATE
ENTRA.OL,2026-04-16,107.0,47.49,0.69,0.4492,110.448,-3.12,13.91,53.16,53.16,NEUTRAL,0,1.75,0.0,LOW
WWIB.OL,2026-04-16,645.0,47.86,-2.32,-0.8599,643.96,0.16,16.04,60.84,37.72,NEUTRAL,0,1.75,0.0,LOW
HUNT.OL,2026-04-16,5.33,48.43,-4.67,-0.114,4.3704,21.96,40.72,56.15,33.23,NEUTRAL,0,5.0,0.0,HIGH
IOX.OL,2026-04-16,4.46,48.73,-0.94,-0.2376,3.4887,27.84,29.47,59.73,38.83,NEUTRAL,0,3.0,0.0,MODERATE
HYPRO.OL,2026-04-16,1.575,48.98,-2.36,0.0055,1.5995,-1.53,17.48,49.93,48.36,NEUTRAL,0,1.75,0.0,LOW
SCATC.OL,2026-04-16,124.7,49.19,-3.56,-0.5488,120.714,3.3,24.15,16.82,36.65,NEUTRAL,0,3.0,0.0,MODERATE
ASA.OL,2026-04-16,2.85,49.3,6.58,0.1695,4.1486,-31.3,48.35,63.87,69.15,NEUTRAL,0,5.0,0.0,HIGH
FRO.OL,2026-04-16,326.6,49.33,-4.81,-1.6275,319.622,2.18,18.3,53.52,41.54,NEUTRAL,0,1.75,0.0,LOW
ININ.OL,2026-04-15,2.88,49.49,5.52,0.0034,2.9606,-2.72,11.17,42.93,52.57,NEUTRAL,0,1.75,0.0,LOW
