# oslo-screener report=report_2026-02-18T0715Z.csv data_fetch_started=2026-02-18T07:15:25Z data_fetch_completed=2026-02-18T07:15:45Z generated_at=2026-02-18T07:15:45Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
MOBA.OL,2026-01-02,16.05,79.43,0.0,0.2647,13.692,17.22,31.66,77.88,91.33,SELL-watch,1,5.0,1.5,HIGH
WAWI.OL,2026-02-17,122.8,81.99,1.02,0.6606,106.045,15.8,34.94,78.69,93.34,SELL-watch,1,5.0,1.5,HIGH
ORK.OL,2026-02-17,129.8,83.09,1.11,1.2938,113.928,13.93,42.77,89.48,87.14,SELL-watch,1,5.0,1.5,HIGH
QEC.OL,2026-02-17,1.75,35.41,3.37,-0.0024,2.1103,-17.07,36.37,12.91,41.55,NEUTRAL,0,5.0,0.0,HIGH
GJF.OL,2026-02-17,267.2,36.19,-0.84,-0.5834,283.24,-5.66,31.26,32.19,28.44,NEUTRAL,0,5.0,0.0,HIGH
ACR.OL,2026-02-17,7.62,36.44,-0.83,-0.1239,7.8768,-3.26,45.6,49.33,19.13,NEUTRAL,0,5.0,0.0,HIGH
BRG.OL,2026-02-17,176.2,36.69,0.39,-0.8672,190.732,-7.62,30.81,21.78,41.89,NEUTRAL,0,5.0,0.0,HIGH
TOM.OL,2026-02-17,118.8,36.88,-4.21,-0.7119,131.428,-9.61,20.02,25.5,28.93,NEUTRAL,0,3.0,0.0,MODERATE
HYPRO.OL,2026-02-17,1.63,36.97,-3.05,-0.0095,2.0496,-20.47,13.11,22.23,32.25,NEUTRAL,0,1.75,0.0,LOW
ASA.OL,2026-02-17,5.4,39.23,7.66,-0.0605,6.5976,-18.15,33.52,32.65,51.24,NEUTRAL,0,5.0,0.0,HIGH
PYRUM.OL,2026-02-17,298.0,40.21,0.0,0.8834,325.06,-8.32,15.21,44.69,38.5,NEUTRAL,0,1.75,0.0,LOW
BAKKA.OL,2026-02-17,455.2,40.66,0.16,-0.3925,480.61,-5.29,19.4,61.26,30.9,NEUTRAL,0,1.75,0.0,LOW
IDEX.OL,2026-02-17,5.26,40.75,0.24,-0.1124,5.417,-2.9,29.26,63.55,23.27,NEUTRAL,0,3.0,0.0,MODERATE
NHY.OL,2026-02-17,82.02,41.05,-5.47,-0.8934,82.0576,-0.05,22.56,50.09,24.36,NEUTRAL,0,3.0,0.0,MODERATE
BOR.OL,2026-02-17,17.65,41.09,-4.58,-0.0266,18.243,-3.25,10.17,19.63,26.15,NEUTRAL,0,1.75,0.0,LOW
CLCO.OL,2026-01-13,95.3,41.33,0.0,-0.4046,98.112,-2.87,24.67,21.33,40.05,NEUTRAL,0,3.0,0.0,MODERATE
WSTEP.OL,2026-02-17,18.1,42.46,-5.66,-0.049,18.38,-1.52,19.13,53.3,31.21,NEUTRAL,0,1.75,0.0,LOW
PCIB.OL,2026-02-17,0.209,45.23,-2.82,0.0015,0.2392,-12.61,13.52,65.23,42.31,NEUTRAL,0,1.75,0.0,LOW
EPR.OL,2026-02-17,87.8,45.43,-0.41,0.164,90.874,-3.38,31.36,42.27,53.32,NEUTRAL,0,5.0,0.0,HIGH
INIFY.OL,2026-02-17,3.6,46.49,-0.47,-0.0116,3.7168,-3.14,9.51,48.34,42.92,NEUTRAL,0,1.75,0.0,LOW
PSE.OL,2026-02-17,4.65,46.67,-4.01,-0.0123,4.7028,-1.12,33.08,69.65,39.39,NEUTRAL,0,5.0,0.0,HIGH
JIN.OL,2026-02-17,5.66,46.73,-3.02,0.0058,5.7504,-1.57,16.7,49.06,44.74,NEUTRAL,0,1.75,0.0,LOW
GSF.OL,2026-02-17,72.25,47.05,-2.4,-0.0444,73.397,-1.56,10.03,47.42,41.46,NEUTRAL,0,1.75,0.0,LOW
POL.OL,2026-02-17,53.0,47.09,2.59,-0.1604,53.708,-1.32,9.14,25.91,46.94,NEUTRAL,0,1.75,0.0,LOW
NAPA.OL,2026-02-17,31.5,47.19,-4.86,-0.2165,31.564,-0.2,12.11,31.16,39.46,NEUTRAL,0,1.75,0.0,LOW
VAR.OL,2026-02-17,32.91,47.42,-2.83,-0.1387,32.2869,1.93,15.88,40.97,31.81,NEUTRAL,0,1.75,0.0,LOW
NOD.OL,2026-02-17,137.1,47.48,-4.07,-0.0032,135.596,1.11,19.61,50.94,36.17,NEUTRAL,0,1.75,0.0,LOW
DNO.OL,2026-02-17,15.26,47.81,0.36,-0.0541,15.2767,-0.11,11.25,53.88,43.1,NEUTRAL,0,1.75,0.0,LOW
HSPG.OL,2026-02-17,151.0,47.85,-8.37,0.9317,155.6748,-3.0,28.88,46.78,47.11,NEUTRAL,0,3.0,0.0,MODERATE
ELK.OL,2026-02-17,28.16,48.0,7.31,-0.1615,29.0724,-3.14,23.24,30.66,51.38,NEUTRAL,0,3.0,0.0,MODERATE
SOFF.OL,2026-02-17,48.65,48.23,-2.66,-0.3806,46.81,3.93,21.63,41.66,34.63,NEUTRAL,0,3.0,0.0,MODERATE
PRS.OL,2026-02-17,3.495,48.57,-1.59,0.0039,3.5655,-1.98,22.71,67.66,41.09,NEUTRAL,0,3.0,0.0,MODERATE
AURG.OL,2026-02-17,258.1,48.84,-2.36,-0.2998,258.424,-0.13,24.89,35.12,49.14,NEUTRAL,0,3.0,0.0,MODERATE
AFG.OL,2026-02-17,185.0,48.98,-7.03,-0.0948,185.032,-0.02,20.35,59.87,44.46,NEUTRAL,0,3.0,0.0,MODERATE
PARB.OL,2026-02-17,83.7,49.33,0.88,0.3647,85.986,-2.66,21.84,34.31,64.26,NEUTRAL,0,3.0,0.0,MODERATE
SPOL.OL,2026-02-17,198.74,49.58,-0.03,-0.3441,198.1876,0.28,16.28,52.76,46.83,NEUTRAL,0,1.75,0.0,LOW
SALM.OL,2026-02-17,579.0,49.92,-1.39,1.6189,586.59,-1.29,17.31,64.74,45.94,NEUTRAL,0,1.75,0.0,LOW
TIETO.OL,2026-02-17,210.8,50.21,-1.95,0.9887,214.588,-1.77,18.52,84.68,53.67,NEUTRAL,0,1.75,0.0,LOW
KOA.OL,2026-02-17,2.18,51.37,-2.18,-0.0011,2.1682,0.54,11.05,44.68,46.29,NEUTRAL,0,1.75,0.0,LOW
REACH.OL,2026-02-17,6.99,51.38,5.54,-0.0595,6.7374,3.75,21.02,94.49,51.94,NEUTRAL,0,3.0,0.0,MODERATE
HEX.OL,2026-02-17,8.2,51.42,-1.59,0.0015,7.9186,3.55,21.23,70.55,47.83,NEUTRAL,0,3.0,0.0,MODERATE
EMGS.OL,2026-02-17,0.275,52.09,6.13,-0.0004,0.2378,15.64,33.56,85.06,51.59,NEUTRAL,0,5.0,0.0,HIGH
BMA.OL,2026-02-17,14.5,52.35,6.74,-0.0078,14.302,1.38,11.51,59.96,54.86,NEUTRAL,0,1.75,0.0,LOW
ABG.OL,2026-02-17,8.13,52.47,-0.61,-0.0001,8.107,0.28,17.37,26.26,52.21,NEUTRAL,0,1.75,0.0,LOW
HELG.OL,2026-02-17,172.1,52.98,0.93,0.5504,174.3528,-1.29,24.58,63.95,66.68,NEUTRAL,0,3.0,0.0,MODERATE
PLT.OL,2026-02-17,6.66,53.36,-0.83,0.0443,6.6878,-0.42,11.02,49.95,64.32,NEUTRAL,0,1.75,0.0,LOW
VOW.OL,2026-02-17,2.675,53.49,2.79,-0.0075,2.7043,-1.08,8.29,34.88,61.67,NEUTRAL,0,1.75,0.0,LOW
SPIR.OL,2026-02-17,8.48,53.95,0.0,-0.0202,8.4656,0.17,38.08,46.8,34.9,NEUTRAL,0,5.0,0.0,HIGH
VVL.OL,2026-02-17,400.0,53.95,2.13,0.2066,391.92,2.06,12.58,66.55,50.78,NEUTRAL,0,1.75,0.0,LOW
