# oslo-screener report=report_2025-12-31T0650Z.csv data_fetch_started=2025-12-31T06:49:35Z data_fetch_completed=2025-12-31T06:50:10Z generated_at=2025-12-31T06:50:10Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk,note
RING.OL,2025-12-30,415.95,77.34,2.53,2.0449,388.681,7.02,25.11,44.22,91.16,SELL-watch,1.0,3.0,1.5,MODERATE,
AUSS.OL,2025-12-30,97.5,78.75,3.52,0.9117,91.446,6.62,31.46,84.46,90.92,SELL-watch,1.0,5.0,1.5,HIGH,
SPOG.OL,2025-12-30,80.19,78.82,0.44,0.4784,73.2124,9.53,61.65,80.16,86.26,SELL-watch,1.0,5.0,1.5,HIGH,
MELG.OL,2025-12-30,201.0,78.92,2.74,-0.0123,184.304,9.06,40.86,76.05,86.0,SELL-watch,2.0,5.0,3.0,HIGH,
MOBA.OL,2025-12-30,16.05,79.43,6.19,0.2532,13.642,17.65,28.9,74.74,91.33,SELL-watch,1.0,3.0,1.5,MODERATE,
MORG.OL,2025-12-30,117.0,80.26,2.91,1.2034,103.7462,12.78,30.84,56.7,92.6,SELL-watch,1.0,5.0,1.5,HIGH,
SPOL.OL,2025-12-30,205.85,85.22,0.87,1.2428,185.0614,11.23,45.35,72.44,94.98,SELL-watch,1.0,5.0,1.5,HIGH,
BGBIO.OL,2025-12-30,0.491,38.35,1.95,0.0102,0.7249,-32.27,23.69,28.46,45.81,NEUTRAL,0.0,3.0,0.0,MODERATE,
FRO.OL,2025-12-30,222.4,39.74,2.39,-1.3178,239.4108,-7.11,17.98,44.98,40.6,NEUTRAL,0.0,1.75,0.0,LOW,
ASA.OL,2025-12-30,6.95,40.89,-2.15,-0.0291,7.3223,-5.08,36.83,43.38,28.35,NEUTRAL,0.0,5.0,0.0,HIGH,
IOX.OL,2025-12-30,0.797,41.78,-4.22,-0.0111,1.1124,-28.35,16.09,45.87,47.38,NEUTRAL,0.0,1.75,0.0,LOW,
PYRUM.OL,2025-12-30,329.0,42.28,-8.97,-1.239,336.2204,-2.15,30.79,56.39,29.22,NEUTRAL,0.0,5.0,0.0,HIGH,
PLT.OL,2025-12-30,6.59,42.71,1.11,-0.0458,7.1578,-7.93,15.11,43.37,37.96,NEUTRAL,0.0,1.75,0.0,LOW,
PCIB.OL,2025-12-30,0.246,43.02,-4.26,0.0008,0.2776,-11.37,10.7,28.72,39.92,NEUTRAL,0.0,1.75,0.0,LOW,
