# oslo-screener report=report_2026-02-12T0717Z.csv data_fetch_started=2026-02-12T07:16:24Z data_fetch_completed=2026-02-12T07:17:01Z generated_at=2026-02-12T07:17:01Z
# columns=ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
QEC.OL,2026-02-11,1.706,26.8,4.05,-0.0275,2.1453,-20.48,36.15,16.94,21.61,BUY,2,5.0,3.0,HIGH
SATS.OL,2026-02-11,42.3,65.98,-1.84,0.1995,39.873,6.09,20.62,67.49,76.07,SELL,2,3.0,3.0,MODERATE
KOG.OL,2026-02-11,360.65,66.12,-10.3,2.781,290.836,24.0,41.08,57.13,60.86,SELL,2,5.0,3.0,HIGH
AKVA.OL,2026-02-11,94.2,66.97,-2.2,1.1827,87.812,7.27,31.98,95.24,73.91,SELL,2,5.0,3.0,HIGH
YAR.OL,2026-02-11,457.3,66.99,-10.29,1.0447,414.296,10.38,31.75,74.21,62.22,SELL,2,5.0,3.0,HIGH
ODL.OL,2026-02-11,97.1,68.45,-1.12,0.1259,89.704,8.24,35.8,75.62,71.11,SELL,2,5.0,3.0,HIGH
SUBC.OL,2026-02-11,249.6,74.26,-1.65,-0.0306,216.126,15.49,49.19,69.62,72.88,SELL,3,5.0,5.0,HIGH
ASA.OL,2026-02-11,4.721,20.53,-0.61,-0.1852,6.7716,-30.28,29.73,9.18,10.39,BUY-watch,1,3.0,1.5,MODERATE
PHO.OL,2026-02-11,63.5,27.75,-5.3,-1.0278,69.518,-8.66,38.36,9.66,12.89,BUY-watch,1,5.0,1.5,HIGH
ATEA.OL,2026-02-11,141.0,27.85,-6.08,-1.497,155.196,-9.15,23.41,40.61,18.65,BUY-watch,1,3.0,1.5,MODERATE
MULTI.OL,2026-02-11,158.5,28.61,-9.95,-1.0112,170.78,-7.19,18.57,36.39,14.4,BUY-watch,1,1.75,1.5,LOW
TIETO.OL,2026-02-11,190.0,29.07,-7.47,-2.4123,214.548,-11.44,22.93,25.98,19.31,BUY-watch,1,3.0,1.5,MODERATE
BRG.OL,2026-02-11,174.0,30.88,-0.83,-2.2534,192.092,-9.42,28.54,24.04,27.0,BUY-watch,1,3.0,1.5,MODERATE
ZAL.OL,2026-02-11,81.8,32.7,-5.58,-0.5696,87.708,-6.74,18.27,45.62,22.4,BUY-watch,1,1.75,1.5,LOW
SWON.OL,2026-02-11,88.25,34.24,-3.8,-1.1422,105.7668,-16.56,32.83,32.46,31.16,BUY-watch,1,5.0,1.5,HIGH
GENT.OL,2026-02-11,54.0,34.65,-18.52,-0.3253,56.94,-5.16,14.88,16.22,22.19,BUY-watch,1,1.75,1.5,LOW
2020.OL,2026-02-11,136.1,34.77,-13.36,-0.5368,142.4986,-4.49,10.51,32.05,21.26,BUY-watch,1,1.75,1.5,LOW
HUNT.OL,2026-02-11,2.69,65.76,1.63,0.0226,2.179,23.45,30.83,62.38,64.45,SELL-watch,1,5.0,1.5,HIGH
