ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
BGBIO.OL,2025-11-13,0.665,23.96,2.99,-0.0445,1.1095,-40.06,33.82,25.62,19.25,BUY,2,5.0,3.0,HIGH
VENDB.OL,2025-11-13,302.6,29.42,5.4,-2.6027,340.608,-11.16,23.39,25.87,22.0,BUY,2,3.0,3.0,MODERATE
KOG.OL,2025-11-13,247.2,31.5,3.79,-1.6872,293.8379,-15.87,42.2,34.85,33.45,BUY,2,5.0,3.0,HIGH
DNO.OL,2025-11-13,14.78,65.68,-0.97,0.245,14.0368,5.29,26.16,79.94,78.52,SELL,2,3.0,3.0,MODERATE
TIETO.OL,2025-11-13,215.2,67.52,-2.01,-0.2908,192.5525,11.76,38.41,72.81,67.54,SELL,3,5.0,5.0,HIGH
PLT.OL,2025-11-13,8.18,67.71,-5.01,0.0977,5.8259,40.41,39.49,59.85,68.71,SELL,2,5.0,3.0,HIGH
DOFG.OL,2025-11-13,100.0,68.25,-5.61,1.3519,95.263,4.97,27.55,80.81,78.76,SELL,2,3.0,3.0,MODERATE
EMGS.OL,2025-11-13,0.289,16.34,-0.04,-0.076,1.1307,-74.44,45.27,20.77,12.31,BUY-watch,1,5.0,1.5,HIGH
WSTEP.OL,2025-11-13,18.2,19.14,-0.67,-0.0829,20.976,-13.23,32.57,14.69,13.87,BUY-watch,1,5.0,1.5,HIGH
HEX.OL,2025-11-13,6.86,22.57,-0.64,-0.0986,11.0384,-37.85,55.77,31.34,21.87,BUY-watch,1,5.0,1.5,HIGH
TEL.OL,2025-11-13,145.3,25.12,-1.62,-0.9408,159.3144,-8.8,34.7,11.05,18.61,BUY-watch,1,5.0,1.5,HIGH
AUSS.OL,2025-11-13,87.8,29.35,-1.89,-0.7715,95.166,-7.74,35.7,33.75,21.2,BUY-watch,1,5.0,1.5,HIGH
MULTI.OL,2025-11-13,160.0,29.44,-2.13,-0.608,173.02,-7.53,27.49,63.36,21.76,BUY-watch,1,3.0,1.5,MODERATE
LSG.OL,2025-11-13,46.0,33.89,-1.42,-0.241,49.4888,-7.05,32.25,27.37,29.99,BUY-watch,1,5.0,1.5,HIGH
HAUTO.OL,2025-11-13,86.0,34.35,-3.41,0.224,99.0234,-13.15,34.76,31.97,31.13,BUY-watch,2,5.0,3.0,HIGH
SPIR.OL,2025-11-13,6.34,34.87,-0.0,0.0092,7.1573,-11.42,34.32,34.29,28.49,BUY-watch,2,5.0,3.0,HIGH
