ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
ABG.OL,2025-12-03,7.94,66.96,-3.75,0.0265,7.2366,9.72,47.12,76.68,58.34,SELL,2,5.0,3.0,HIGH
WAWI.OL,2025-12-03,93.95,71.35,-0.23,0.6025,84.624,11.02,31.36,80.43,82.38,SELL,2,5.0,3.0,HIGH
EMGS.OL,2025-12-03,0.253,21.97,-0.75,0.0314,0.8145,-68.94,63.53,38.91,26.09,BUY-watch,2,5.0,3.0,HIGH
VENDB.OL,2025-12-03,269.6,26.27,-0.4,-1.0774,318.692,-15.4,40.11,27.93,21.14,BUY-watch,1,5.0,1.5,HIGH
TEL.OL,2025-12-03,143.9,34.2,-2.89,0.5014,154.3271,-6.76,28.65,39.0,32.41,BUY-watch,2,3.0,3.0,MODERATE
WSTEP.OL,2025-12-03,17.5,34.58,-0.0,0.052,19.7,-11.17,37.04,33.85,32.31,BUY-watch,2,5.0,3.0,HIGH
HYPRO.OL,2025-12-03,2.26,34.65,-1.96,-0.029,3.0761,-26.53,11.62,32.08,27.96,BUY-watch,1,1.75,1.5,LOW
2020.OL,2025-12-03,145.0,65.17,3.08,0.303,138.2272,4.9,19.85,71.88,77.28,SELL-watch,1,1.75,1.5,LOW
SPOL.OL,2025-12-03,187.0,65.26,4.11,1.2185,182.0836,2.7,22.11,73.77,81.73,SELL-watch,1,3.0,1.5,MODERATE
PRS.OL,2025-12-03,3.63,65.93,4.6,0.0493,3.2449,11.87,27.28,71.3,83.36,SELL-watch,1,3.0,1.5,MODERATE
MING.OL,2025-12-03,196.26,66.88,3.21,1.2061,189.8112,3.4,23.47,60.71,85.17,SELL-watch,1,3.0,1.5,MODERATE
NRC.OL,2025-12-03,8.44,67.81,1.09,0.2258,7.905,6.77,35.84,72.4,87.01,SELL-watch,1,5.0,1.5,HIGH
WWIB.OL,2025-12-03,515.0,67.93,0.0,2.1986,481.06,7.06,27.39,73.22,79.79,SELL-watch,1,3.0,1.5,MODERATE
PHO.OL,2025-12-03,63.5,67.96,0.57,0.3675,57.306,10.81,35.35,66.76,78.08,SELL-watch,1,5.0,1.5,HIGH
NONG.OL,2025-12-03,145.58,68.33,2.85,0.6278,140.0052,3.98,12.72,62.49,82.65,SELL-watch,1,1.75,1.5,LOW
GYL.OL,2025-12-03,450.0,69.45,-0.0,3.9465,426.44,5.52,24.6,13.85,74.82,SELL-watch,1,3.0,1.5,MODERATE
ODL.OL,2025-12-03,87.0,69.63,4.07,0.4261,78.8917,10.28,32.34,69.82,80.69,SELL-watch,1,5.0,1.5,HIGH
MOWI.OL,2025-12-03,233.8,69.75,6.15,1.222,221.2634,5.67,20.8,68.46,81.49,SELL-watch,1,3.0,1.5,MODERATE
WWI.OL,2025-12-03,560.0,71.35,0.0,3.446,515.54,8.62,26.14,91.72,81.99,SELL-watch,1,3.0,1.5,MODERATE
HUNT.OL,2025-12-03,1.992,76.08,1.97,0.0583,1.3156,51.41,51.91,88.91,75.86,SELL-watch,1,5.0,1.5,HIGH
SPIR.OL,2025-12-03,8.44,76.44,0.37,0.2574,6.9592,21.28,35.88,69.07,86.5,SELL-watch,1,5.0,1.5,HIGH
VOW.OL,2025-12-03,2.315,76.77,2.03,0.0913,1.7942,29.03,24.54,92.98,91.78,SELL-watch,1,3.0,1.5,MODERATE
KOA.OL,2025-12-03,1.986,77.14,3.48,0.0227,1.7005,16.79,30.2,84.74,91.03,SELL-watch,1,5.0,1.5,HIGH
OLT.OL,2025-12-03,334.0,80.7,0.55,-0.7483,289.68,15.3,58.13,75.58,79.24,SELL-watch,2,5.0,3.0,HIGH
HSHP.OL,2025-12-03,100.8,81.34,7.39,1.509,82.9252,21.56,33.67,82.12,91.79,SELL-watch,1,5.0,1.5,HIGH
MELG.OL,2025-12-03,194.98,83.93,0.27,1.4509,176.0776,10.74,35.34,80.01,93.72,SELL-watch,1,5.0,1.5,HIGH
