ticker,date,close,rsi14,rsi_dir,macd_hist,sma50,pct_above_sma50,adx14,mfi14,rsi6,signal,primary_count,stop_loss_pct,position_pct,risk
FRO.OL,2025-11-28,242.0,45.98,-1.85,-2.011,238.88,1.31,13.59,40.08,29.14,NEUTRAL,0,1.75,0.0,LOW
BAKKA.OL,2025-11-28,464.8,46.04,-1.21,-1.5152,475.272,-2.2,18.95,47.96,50.21,NEUTRAL,0,1.75,0.0,LOW
MULTI.OL,2025-11-28,162.5,46.44,-3.94,0.83,168.46,-3.54,22.62,65.48,60.4,NEUTRAL,0,3.0,0.0,MODERATE
MOBA.OL,2025-11-28,13.25,46.78,0.96,-0.0129,13.789,-3.91,12.54,53.64,52.25,NEUTRAL,0,1.75,0.0,LOW
ASA.OL,2025-11-28,7.297,48.79,3.27,0.0064,7.4962,-2.66,17.79,64.85,54.02,NEUTRAL,0,1.75,0.0,LOW
HAUTO.OL,2025-11-28,89.1,48.8,2.09,0.6056,93.9977,-5.21,24.36,46.78,60.54,NEUTRAL,0,3.0,0.0,MODERATE
STB.OL,2025-11-28,157.4,48.98,-3.57,-0.234,156.138,0.81,13.06,65.4,42.93,NEUTRAL,0,1.75,0.0,LOW
EIOF.OL,2025-11-28,12.6,49.23,-0.0,0.0221,12.801,-1.57,18.48,40.62,50.87,NEUTRAL,0,1.75,0.0,LOW
PSE.OL,2025-11-28,4.6,49.5,4.18,0.0064,4.7584,-3.33,27.08,39.79,60.75,NEUTRAL,0,3.0,0.0,MODERATE
TOM.OL,2025-11-28,125.1,49.63,-2.23,1.3959,132.18,-5.36,26.4,59.57,59.73,NEUTRAL,0,3.0,0.0,MODERATE
POL.OL,2025-11-28,51.0,49.87,6.82,0.0145,51.654,-1.27,26.5,41.51,57.24,NEUTRAL,0,3.0,0.0,MODERATE
HELG.OL,2025-11-28,174.0,50.15,1.22,0.0526,174.9508,-0.54,9.97,78.53,50.59,NEUTRAL,0,1.75,0.0,LOW
BMA.OL,2025-11-28,14.3,50.47,-1.12,0.0946,14.688,-2.64,13.56,58.99,57.09,NEUTRAL,0,1.75,0.0,LOW
JIN.OL,2025-11-28,5.94,50.53,-13.11,0.0413,5.9708,-0.52,13.24,67.5,49.39,NEUTRAL,0,1.75,0.0,LOW
AKVA.OL,2025-11-28,91.0,50.57,-1.99,0.1444,92.3344,-1.45,38.66,32.5,56.18,NEUTRAL,0,5.0,0.0,HIGH
VENDA.OL,2025-10-27,358.0,50.75,5.92,1.4362,370.772,-3.44,16.19,54.26,65.64,NEUTRAL,0,1.75,0.0,LOW
GOD.OL,2025-11-28,9.18,50.76,-5.09,-0.0021,9.0132,1.85,14.26,69.05,42.09,NEUTRAL,0,1.75,0.0,LOW
HSPG.OL,2025-11-28,157.78,51.32,-11.81,1.3327,161.6436,-2.39,43.69,82.68,56.61,NEUTRAL,0,5.0,0.0,HIGH
B2I.OL,2025-11-28,16.9,51.44,2.26,0.0172,16.9976,-0.57,14.19,59.76,59.9,NEUTRAL,0,1.75,0.0,LOW
YAR.OL,2025-11-28,369.5,51.45,1.53,0.2985,370.416,-0.25,12.4,69.72,59.25,NEUTRAL,0,1.75,0.0,LOW
LSG.OL,2025-11-28,47.0,51.47,3.46,0.2535,48.4726,-3.04,33.51,55.03,70.63,NEUTRAL,0,5.0,0.0,HIGH
ENTRA.OL,2025-11-28,112.8,51.52,-1.86,0.5287,114.4354,-1.43,25.77,73.85,65.22,NEUTRAL,0,3.0,0.0,MODERATE
MEDI.OL,2025-11-28,251.0,51.85,7.88,-0.6221,245.26,2.34,17.65,72.68,57.89,NEUTRAL,0,1.75,0.0,LOW
MORG.OL,2025-11-28,102.48,52.42,7.44,0.2416,103.5866,-1.07,10.45,58.63,64.27,NEUTRAL,0,1.75,0.0,LOW
SDSD.OL,2025-11-28,1.855,52.6,-11.15,0.0027,1.8373,0.96,50.82,21.96,50.1,NEUTRAL,0,5.0,0.0,HIGH
EPR.OL,2025-11-28,90.8,52.68,-2.05,1.0748,94.068,-3.47,22.68,63.0,69.57,NEUTRAL,0,3.0,0.0,MODERATE
DNO.OL,2025-11-28,14.51,52.69,1.78,-0.0648,14.1842,2.3,22.0,51.98,47.75,NEUTRAL,0,3.0,0.0,MODERATE
KID.OL,2025-11-28,135.8,52.81,-0.0,0.7582,137.5131,-1.25,29.09,37.54,67.86,NEUTRAL,0,3.0,0.0,MODERATE
DOFG.OL,2025-11-28,94.1,53.16,-0.89,-0.201,92.1155,2.15,18.12,49.15,48.31,NEUTRAL,0,1.75,0.0,LOW
BRG.OL,2025-11-28,190.0,53.67,0.0,0.7997,189.876,0.07,15.43,71.39,64.75,NEUTRAL,0,1.75,0.0,LOW
AFK.OL,2025-11-28,135.0,53.71,-2.69,0.1795,132.16,2.15,9.99,69.63,53.95,NEUTRAL,0,1.75,0.0,LOW
PARB.OL,2025-11-28,86.5,53.94,0.77,0.5177,87.936,-1.63,20.61,68.53,71.79,NEUTRAL,0,3.0,0.0,MODERATE
INIFY.OL,2025-11-28,4.94,54.11,6.14,0.0809,5.2262,-5.48,34.91,28.28,74.23,NEUTRAL,0,5.0,0.0,HIGH
AKSO.OL,2025-11-28,30.62,54.21,4.07,-0.0914,29.4108,4.11,28.58,56.19,53.09,NEUTRAL,0,3.0,0.0,MODERATE
PRS.OL,2025-11-28,3.31,54.24,7.0,0.0056,3.2582,1.59,22.12,59.65,65.83,NEUTRAL,0,3.0,0.0,MODERATE
TIETO.OL,2025-11-28,209.8,54.67,-2.83,-0.9746,197.888,6.02,29.44,87.46,49.5,NEUTRAL,0,3.0,0.0,MODERATE
BWO.OL,2025-11-28,37.1,56.21,-1.69,0.192,36.2465,2.35,14.22,68.98,62.16,NEUTRAL,0,1.75,0.0,LOW
IDEX.OL,2025-11-28,3.205,56.85,0.19,0.0261,2.9996,6.85,29.26,76.7,58.55,NEUTRAL,0,3.0,0.0,MODERATE
SATS.OL,2025-11-28,38.4,56.89,-2.39,0.2993,37.9,1.32,17.46,64.99,68.72,NEUTRAL,0,1.75,0.0,LOW
NAPA.OL,2025-11-28,29.2,57.01,8.04,0.1473,28.087,3.96,22.22,66.19,71.67,NEUTRAL,0,3.0,0.0,MODERATE
PYRUM.OL,2025-11-28,340.0,57.27,10.82,0.5519,327.8604,3.7,27.79,55.63,64.03,NEUTRAL,0,3.0,0.0,MODERATE
NRC.OL,2025-11-28,7.72,57.85,0.65,0.1244,7.9382,-2.75,36.7,57.33,76.84,NEUTRAL,0,5.0,0.0,HIGH
MING.OL,2025-11-28,191.48,57.86,-1.49,0.9154,189.5696,1.01,24.47,57.82,71.31,NEUTRAL,0,3.0,0.0,MODERATE
NHY.OL,2025-11-28,72.38,57.89,0.77,-0.0223,69.6012,3.99,13.66,68.46,61.55,NEUTRAL,0,1.75,0.0,LOW
DNB.OL,2025-11-28,270.5,58.2,-2.91,1.0327,266.532,1.49,13.63,62.39,66.41,NEUTRAL,0,1.75,0.0,LOW
SUBC.OL,2025-11-28,195.1,58.23,3.01,1.0831,191.9787,1.63,16.35,75.16,62.68,NEUTRAL,0,1.75,0.0,LOW
AKER.OL,2025-11-28,789.0,58.29,3.04,-3.2963,756.7847,4.26,24.22,45.76,61.37,NEUTRAL,0,3.0,0.0,MODERATE
ODFB.OL,2025-11-28,124.0,58.38,0.76,0.079,118.012,5.07,27.08,89.76,59.17,NEUTRAL,0,3.0,0.0,MODERATE
ININ.OL,2025-11-28,3.0,58.43,0.0,-0.01,2.5648,16.97,26.64,59.72,57.14,NEUTRAL,0,3.0,0.0,MODERATE
ATEA.OL,2025-11-28,148.6,58.74,1.62,0.0771,144.016,3.18,17.75,48.97,68.96,NEUTRAL,0,1.75,0.0,LOW
SALM.OL,2025-11-28,591.0,58.82,-1.02,1.5791,574.24,2.92,18.95,61.99,69.23,NEUTRAL,0,1.75,0.0,LOW
SPOL.OL,2025-11-28,183.78,59.08,-2.31,1.2041,182.248,0.84,22.81,78.47,72.67,NEUTRAL,0,3.0,0.0,MODERATE
NONG.OL,2025-11-28,142.42,59.54,-2.71,0.5448,139.716,1.94,13.46,69.14,66.78,NEUTRAL,0,1.75,0.0,LOW
